kinhdo,vido
105.77185,10.01799
105.75423,9.98261
105.5646,10.06797
105.5646,10.06797
105.66926,10.10615
105.79199,10.01234
105.77989,10.03218
105.75364,9.99861
105.78501,10.03113
105.788,10.03483
105.78109,10.03557
105.77854,10.03102
105.77283,10.01953
105.78486,10.03202
105.77825,10.03584
105.77466,10.04878
105.79059,10.0095
105.78635,10.01091
105.77283,10.01953
105.7700078,10.0485946
105.75801,10.03655
105.7700078,10.0485946
105.75238,10.00152
105.75894,10.06652
105.77361,10.05184
105.73509,10.01465
105.78358,10.01675
105.82151,9.98092
105.74046,10.08158
105.73353,10.06568
105.79059,10.0095
105.74203,9.98509
105.75423,9.98261
105.82151,9.98092
105.82416,9.97808
105.77568,10.0498
105.7553881,10.0405922
105.73303,10.06401
105.75355,10.07172
105.73303,10.06401
105.73303,10.06401
105.7929,10.0086
105.82151,9.98092
105.80621,9.99728
105.73303,10.06401
105.73303,10.06401
105.74354,10.07937
105.73353,10.06568
105.73303,10.06401
105.73303,10.06401
105.79059,10.0095
105.75423,9.98261
105.80621,9.99728
105.73303,10.06401
105.74354,10.07937
105.82416,9.97808
105.78997,10.02132
105.73353,10.06568
105.92394,20.64963
105.79368,10.00829
105.82151,9.98092
105.82416,9.97808
105.92394,20.64963
105.75811,10.03698
105.80621,9.99728
105.7862,10.04456
105.73303,10.06401
105.74203,9.98509
105.7875682,10.0489283
105.78675,10.02241
105.82151,9.98092
105.30693,10.13885
105.74036,9.97519
105.7875682,10.0489283
105.73353,10.06568
105.77361,10.05184
105.73849,10.08298
105.74354,10.07937
105.73303,10.06401
105.73303,10.06401
105.73303,10.06401
105.73303,10.06401
105.72265,10.05026
105.81018,9.99304
105.7883476,10.035433
105.74036,9.97519
105.74203,9.98509
105.74203,9.98509
105.77185,10.01799
105.73849,10.08298
105.75364,9.99861
105.78079,10.03212
105.75801,10.03655
105.75801,10.03655
105.73353,10.06568
105.73559,10.04363
105.73303,10.06401
105.73353,10.06568
105.75738,10.03592
105.75355,10.07172
105.77332,10.05164
105.73303,10.06401
105.73303,10.06401
105.79059,10.0095
105.75423,9.98261
105.80621,9.99728
105.73303,10.06401
105.74354,10.07937
105.82416,9.97808
105.82151,9.98092
105.78997,10.02132
105.73353,10.06568
105.92394,20.64963
105.79368,10.00829
105.82151,9.98092
105.82416,9.97808
105.92394,20.64963
105.75811,10.03698
105.80621,9.99728
105.7862,10.04456
105.73303,10.06401
105.74203,9.98509
105.7875682,10.0489283
105.78675,10.02241
105.82151,9.98092
105.30693,10.13885
